Trials,h1' (cm),h2' (cm),h1 (cm),h2 (cm),h3 (cm),D (cm),L (cm),Predicted (cm),Observation (cm),Delta hp,Delta h,V0,vx,vy,t,x,z,
1,1.205,1.18,1.26,1.144,1.068,0.298,0.294,58.6,52,0.025,0.116,1.129061557,1.144422939,0.2918662529,#ERROR!,-2,-0.7,1
2,120.5,118,,,,,,58.6,,,,,,,,-1.5,-0.4,2
3,120.5,118,,,,,,58.6,,,,,,,,-1.8,0,3
4,120.5,118,,,,,,58.6,,,,,,,,-1.8,-0.4,4
5,120.5,118,,,,,,58.6,,,,,,,,-1.6,-0.4,5
6,120.5,118,,,,,,58.6,,,,,,,,-2.2,0,6
7,120.5,118,,,,,,,,,,,,,,-2.1,-0.2,7
8,120.5,118,,,,,,58.6,,,,,,,,-2.85,-0.5,8
9,120.5,118,,,,,,58.6,,,,,,,,-1.8,0,9
10,120.5,118,,,,,,58.6,,,,,,,,-1.7,0,10
11,120.5,118,,,,,,58.6,,,,,,,,-2.3,0.3,11
12,120.5,118,,,,,,58.6,,,,,,,,-2.2,0.2,12
13,120.5,118,,,,,,58.6,,,,,,,,-1.8,0.1,13
14,120.5,118,,,,,,58.6,,,,,,,,-1.4,0.2,14
15,120.5,118,,,,,,58.6,,,,,,,,-1.9,0.4,15
16,120.5,118,,,,,,58.6,,,,x_bar ->,-1.91,0.07,<--z_bar,-2.15,0.5,16
17,120.5,118,,,,,,58.6,,,,x_bar sen->,0.0737,0.0904,<--z_bar stdv,-1.6,0.5,17
18,120.5,118,,,,,,58.6,,,,,,,,-1.85,0.5,18
19,120.5,118,,,,,,58.6,,,,,,,,-1.7,0.6,19
20,120.5,118,,,,,,58.6,,,,,,,,-1.9,0.7,20
,,,,,,,,58.6,,,,,,,,,,
